Брянская область,Брасовская,УИК №193,863,915,0,723,75,117,75,723,4,794,0,0,1,105,30,638,10,5,3,2
Республика Дагестан,Хасавюртовская,УИК №1514,2021,2100,0,2013,8,79,8,2013,0,2021,0,0,0,101,0,1920,0,0,0,0
Курганская область,Шумихинская,УИК №1040,536,500,0,289,35,176,35,289,6,318,0,0,2,63,31,213,0,5,3,1
Республика Башкортостан,Хайбуллинская,УИК №3240,104,99,0,80,6,13,6,80,0,86,0,0,3,20,0,61,1,1,0,0
Кабардино-Балкарская Республика,Эльбрусская,УИК №341,1325,1343,0,1183,40,120,40,1181,2,1219,0,0,4,35,12,1157,2,3,3,3
Пермский край,Пермь, Мотовилихинская,УИК №3223,1891,1600,0,1200,40,360,40,1194,25,1209,0,0,14,94,67,942,39,9,14,30
Брянская область,Климовская,УИК №524,142,145,0,93,35,17,35,93,1,127,0,0,0,5,3,117,2,0,0,0
Волгоградская область,Михайловская городская,УИК №4405,1892,1500,0,864,233,403,233,864,12,1085,0,0,6,195,78,778,12,4,3,9
Волгоградская область,Суровикинская,УИК №3930,440,400,0,208,45,147,45,208,2,251,0,0,1,22,20,202,2,3,1,0
город Москва,район Ново-Переделкино,УИК №2700,2162,1600,0,1470,14,116,14,1468,13,1469,0,0,9,183,39,1070,89,10,32,37
Пензенская область,Малосердобинская,УИК №711,175,222,0,110,57,55,57,110,0,167,0,0,1,19,8,136,1,2,0,0
Московская область,Павлово-Посадская городская,УИК №2265,1473,1400,0,883,21,496,21,883,6,898,0,0,6,98,52,705,20,6,7,4
Орловская область,Орел, Северная ,УИК №52,2509,2400,0,1530,42,828,42,1530,17,1555,0,0,6,200,103,1147,36,15,30,18
Самарская область,Сергиевская,УИК №3431,339,350,0,272,41,37,41,272,0,313,0,0,3,23,13,270,1,0,2,1
Псковская область,Псковская городская,УИК №36,2031,2000,0,1252,24,724,24,1252,10,1266,0,0,13,146,86,933,28,11,17,32
Амурская область,города Благовещенск,УИК №321,1459,1150,0,950,22,178,22,950,31,941,0,0,10,190,52,621,50,1,5,12
Самарская область,Красноармейская,УИК №1613,103,96,0,84,12,0,12,84,1,95,0,0,0,4,3,87,0,1,0,0
Самарская область,Кинельская,УИК №4619,123,118,0,107,9,2,9,107,0,116,0,0,1,2,4,109,0,0,0,0
Ростовская область,Неклиновская,УИК №1316,265,230,0,181,16,33,16,181,0,197,0,0,0,0,1,196,0,0,0,0
Удмуртская Республика,Ижевск, Октябрьская,УИК №301,1984,1800,0,1203,35,562,35,1203,5,1233,0,0,7,127,86,959,29,6,7,12
Республика Карелия,Беломорская,УИК №199,204,200,0,74,18,108,18,74,1,91,0,0,2,6,6,76,0,0,1,0
Тверская область,Западнодвинская,УИК №224,624,550,0,454,95,1,95,454,0,549,0,0,2,33,29,475,4,2,3,1
Омская область,Омск, Советская,УИК №264,2195,2050,0,1215,16,819,16,1215,16,1215,0,0,11,271,71,816,28,4,10,4
Новосибирская область,Куйбышевская,УИК №583,238,230,0,156,24,50,24,156,1,179,0,0,2,26,23,128,0,0,0,0
Республика Татарстан (Татарстан),Сармановская,УИК №2522,323,326,0,306,6,14,6,306,0,312,0,0,2,23,0,287,0,0,0,0
Московская область,Власихинская городская,УИК №217,1954,1900,0,1161,35,704,35,1150,13,1172,0,0,14,149,43,905,20,14,13,14
Архангельская область,Северодвинская городская № 1,УИК №854,1779,1750,0,1243,12,495,12,1239,14,1237,0,0,10,129,83,945,27,14,13,16
Забайкальский край,Приаргунская,УИК №2922,444,480,0,226,23,231,23,226,6,243,0,0,1,32,48,159,0,3,0,0
Республика Бурятия,Баргузинская,УИК №9,213,220,0,118,13,89,13,118,0,131,0,0,0,6,15,106,2,0,0,2
Республика Татарстан (Татарстан),Дрожжановская,УИК №1369,1539,1623,0,1392,61,170,61,1392,1,1452,0,0,10,80,25,1290,16,9,13,9
Новосибирская область,Новосибирская,УИК №831,2006,1850,0,1084,42,724,42,1084,18,1108,0,0,11,205,63,786,20,5,8,10
Пермский край,Пермь, Индустриальная,УИК №2946,2155,1700,0,1278,49,373,49,1278,15,1312,0,0,12,119,109,987,46,12,10,17
Брянская область,Брянск, Советская,УИК №107,1400,1200,0,966,35,199,35,965,21,979,0,0,13,151,51,698,27,3,15,21
Ленинградская область,Всеволожская,УИК №200,663,500,0,375,16,109,16,375,6,385,0,0,0,29,15,321,10,2,4,4
город Санкт-Петербург,Территориальная избирательная комиссия №2,УИК №136,1598,1500,0,1058,163,279,163,1056,10,1209,0,0,20,97,35,872,73,9,31,72
Оренбургская область,Переволоцкая,УИК №1388,198,210,0,115,0,95,0,115,1,114,0,0,0,29,3,80,2,0,0,0
город Москва,район Восточное Измайлово ,УИК №929,2134,1600,0,1218,44,338,44,1218,18,1244,0,0,17,172,71,840,66,9,20,49
Калужская область,Калуга, Московская,УИК №1010,1359,1200,0,917,20,263,20,917,7,930,0,0,9,100,80,690,25,4,9,13
Красноярский край,Туруханская,УИК №1964,76,100,0,75,0,25,0,75,0,75,0,0,0,2,2,71,0,0,0,0
